tweet_id,tweet_text,tweet_classifications
654038867331301376,@midnight @hardwick Did @tacobell &amp; @ModeloUSA go halve-sies on music/voice actor for their commercials? #BetterDebateQuestions #ChodeBottle,OBSV
654001861976985600,Man Bunsyay or nay? #BetterDebateQuestions @midnight http://t.co/aHLwkIvkzM,ABSD_OBSV
654035416325206016,#BetterDebateQuestions @midnight Would you rather - your gran's body with Kate Upton's face or Kate Upton's body with your gran's face?,ABSD_VLGR_OBSV
654009884384587776,How much do hair transplants cost and can you write them off on your taxes? #BetterDebateQuestions @midnight,ABSD
654021185898868737,Which one of you is picking @Beyonce as their running mate? #BetterDebateQuestions @midnight,ABSD_OBSV
654009900100513793,Any of you think that Trump should have to come clean about his hair in order to continue his campaign? #BetterDebateQuestions @midnight,ISLT_OBSV
654016795473408000,"#BetterDebateQuestions @midnight ""Fuck, Marry, Kill: JFK, Reagan, Thomas Jefferson"".",VLGR_OBSV
653991769542144000,Who is this Ben Ghazi Fella? #BetterDebateQuestions @midnight,WPLY_OBSV
654005298471006208,Where will our country be if Trump wins? Ever seen Idiocracy... About that far... Hope u like Brawndo. #BetterDebateQuestions @midnight,ISLT_OBSV
653793741547794432,"Are you now, or have you ever been a member of the KISS Army? #BetterDebateQuestions @midnight",ABSD_OBSV
654003390704324608,"Is that you, Santa Claus? #BetterDebateQuestions @midnight",ABSD_OBSV
654017765234245632,Hillary: boxers or briefs? #BetterDebateQuestions @midnight,OBSV_ABSD_ISLT
653993678122450944,How do I get to first base? @midnight #BetterDebateQuestions,ABSD_VLGR
654006271436320768,Mrs. Clinton is the real reason you hid your text because of the sexting between you and President Obama #BetterDebateQuestions @midnight,OBSV
654011555747635200,Which of the three little pigs do you feel you most closely resemble and why? #BetterDebateQuestions @midnight,ABSD
654015874609733632,Better one... or better two? #BetterDebateQuestions @midnight,NHMR
654015897162510336,@midnight Why is Donald Trump still a candidate? #BetterDebateQuestions,ISLT_OBSV
654006358824587265,"""Why not Zoidberg?"" @midnight #BetterDebateQuestions",ABSD_OBSV
653775535429038080,What exactly do you plan to do about joke theft on Twitter? @midnight #BetterDebateQuestions,ABSD_OBSV
654016452207489024,"Finally, we are going to go with the hardest question of the night ""What is your favorite color and why?"" #BetterDebateQuestions @midnight",IRNY_ABSD
654002137660309504,#BetterDebateQuestions @midnight Do you own anything other than a pant suit?,OBSV_ISLT
654031292464525312,Who pissed in your Corn Flakes?#BetterDebateQuestions @midnight,ABSD_VLGR
654038619246620673,2 Part question for any of the candidates. Do you guys validate parking? and wheres the nearest strip club #BetterDebateQuestions @midnight,ABSD_VLGR
654001503120658434,How much cream was in your pants when you found out McDonalds serving breakfast all day? #BetterDebateQuestions @midnight,ABSD_VLGR
653797420325826560,"An NRA lobbyist falls in the forest, which one of you will kiss his booboo first #BetterDebateQuestions @midnight",OBSV
653996350888013824,"""So are you the type of person who accidentally drops an F bomb in Presidential Presence &amp; laughs?"" #BetterDebateQuestions @midnight",ABSD
654016405050789889,What's your stance on the toilet? #BetterDebateQuestions @midnight @hardwick @nerdist,VLGR_WPLY_ABSD
654015322723237888,"Why wouldn't a ""former member"" of the Clinton Global Initiative be an unbiased moderator?! #BetterDebateQuestions @midnight",OBSV
653995810246397952,Cocks or Glocks? #BetterDebateQuestions @midnight,ABSD_WPLY_OBSV
653994852712062977,Do you believe in true love? @midnight #BetterDebateQuestions,ABSD
654016611930664960,"Seriously, Mr. Sanders? No, seriously? #BetterDebateQuestions @midnight",OBSV_ISLT
